shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
5-1-7,41.7836935672041,140.778195184353,34
5-1-7,41.7833960638409,140.778961830521,35
5-1-7,41.78328,140.779265714286,36
5-1-7,41.7827107943694,140.780455470085,37
5-1-7,41.7824285282027,140.781129608318,38
5-1-7,41.78196,140.7823,39
5-1-7,41.7816724879904,140.783007329232,40
5-1-7,41.7811674698072,140.783804499871,41
5-1-7,41.7809479544758,140.784087355695,42
5-1-7,41.7803179235701,140.784741698292,43
5-1-7,41.7801251590236,140.785020502526,44
5-1-7,41.78009,140.7851,45
5-1-7,41.7798291657773,140.785611345128,46
5-1-7,41.7797671345724,140.785887876211,47
5-1-7,41.7797243939575,140.786115105711,48
5-1-7,41.7803446740896,140.788031806782,49
5-1-7,41.7806839508307,140.788866877556,50
5-1-7,41.7810462042216,140.789626613671,51
5-1-7,41.78106447179,140.789871802167,52
5-1-7,41.7811,140.79,53
5-1-8,41.766665,140.712422857143,1
5-1-8,41.7646672033245,140.715651521846,2
5-1-8,41.7642231702515,140.716395048305,3
5-1-8,41.7640927754536,140.71672793323,4
5-1-8,41.7640045713066,140.717046736145,5
5-1-8,41.7639664860399,140.7174719253,6
5-1-8,41.7639862854147,140.7178264134,7
5-1-8,41.7640522662571,140.718285363797,8
5-1-8,41.7642345720837,140.718986382321,9
5-1-8,41.7643516666668,140.719271428572,10
5-1-8,41.7648024858222,140.720227283123,11
5-1-8,41.7650313170666,140.720667252704,12
5-1-8,41.7652582164152,140.721048242787,13
5-1-8,41.7657937930794,140.721741914749,14
5-1-8,41.766647790475,140.722779025868,15
5-1-8,41.76694,140.723082857143,16
5-1-8,41.7673562217253,140.723487158149,17
5-1-8,41.7680689333802,140.724231004715,18
5-1-8,41.769575,140.725688571429,19
5-1-8,41.7709346035001,140.726870181983,20
5-1-8,41.77226,140.727794285714,21
5-1-8,41.7725938400932,140.728029361888,22
5-1-8,41.7726636877291,140.728156009374,23
5-1-8,41.7726549048416,140.728354551043,24
5-1-8,41.7711987013468,140.7325566979,25
