stop_id,stop_name,route_count,total_daily_trips,p_morning,p_daytime,p_night,latitude,longitude,elevation,osm_node_id,osm_node_dist
S0110,医師会病院前,15,475,0.9994,0.9997,0.9961,41.80696,140.752904,19.3,292277408,35.5
S0111,十字街,14,890,1.0,1.0,1.0,41.764408,140.719471,2.4,2518169500,33.5
S0112,千代台,26,1218,1.0,1.0,1.0,41.78396,140.7484,12.1,12235054915,10.7
S0113,千歳町,24,1176,1.0,1.0,1.0,41.77598,140.7384,3.6,757025129,5.6
S0114,南大川,3,98,0.9561,0.8134,0.6177,41.865112,140.647629,15.1,505082286,4679.7
S0115,南昭和,3,100,0.8806,0.8199,0.6965,41.865112,140.647629,15.1,505082286,4679.7
S0116,南桔梗,1,59,0.8806,0.6049,0.4384,41.865112,140.647629,15.1,505082286,4679.7
S0117,南石川,1,46,0.8031,0.4927,0.3697,41.865112,140.647629,15.1,505082286,4679.7
S0118,吉川町,2,95,0.9276,0.7923,0.6846,41.793812,140.729492,1.8,5680032725,70.9
S0119,吉田眼科病院,5,177,0.9948,0.9465,0.8594,41.793812,140.729492,1.8,5680032725,70.9
S0120,啄木小公園,1,37,0.7769,0.4551,0.2649,41.895721,140.694412,78.0,1620297125,5306.7
S0121,団地通,7,265,0.9994,0.9893,0.9483,41.8653376430556,140.661174701667,14.8,505082286,3796.1
S0122,国立病院前,2,75,0.8806,0.6923,0.5709,41.895721,140.694412,78.0,1620297125,5306.7
S0123,園芸センター,1,46,0.8031,0.4927,0.3697,41.895721,140.694412,78.0,1620297125,5306.7
S0124,堀川町,23,1145,1.0,1.0,1.0,41.78065,140.7443,6.9,428063888,6.2
S0125,堀川町中通,1,31,0.3935,0.3935,0.345,41.778187,140.743866,5.1,4776488097,8.0
S0126,大妻高校前,6,224,0.9987,0.9729,0.9269,41.769276,140.723694,1.3,12208813713,41.2
S0127,大川,3,98,0.9561,0.8134,0.6177,41.89724,140.771698,538.9,2647268193,445.9
S0128,大川２号橋,3,98,0.9561,0.8134,0.6177,41.85244,140.725342,38.9,1620296341,124.7
S0129,大森稲荷前,1,37,0.7769,0.4551,0.2649,41.767849,140.734055,4.0,4775632533,11.1
S0130,大縄町,8,235,0.9994,0.9817,0.9114,41.840172,140.623672,32.3,505082286,5948.6
S0131,大谷学園前,2,70,0.8806,0.6187,0.5541,41.769276,140.723694,1.3,12208813713,41.2
S0132,大野新道入口,12,446,0.9994,0.9996,0.995,41.769276,140.723694,1.3,12208813713,41.2
S0133,太平洋セメント,1,33,0.3935,0.3935,0.3697,41.81747,140.629829,4.9,505082286,6116.5
S0134,学園前,17,718,0.9994,0.9994,0.9998,41.80294127,140.7770062,24.8,5694860877,23.8
S0135,宇賀浦町,1,37,0.7769,0.4551,0.2649,41.771122,140.744232,4.1,5535564847,47.2
S0136,宝来町,3,276,0.9948,0.9796,0.9589,41.760837,140.720069,3.8,4138542438,10.3
S0137,宮の苑,1,21,0.3935,0.2212,0.2649,41.789673,140.738327,4.4,1925399237,42.4
S0138,宮前町,12,474,0.9994,0.9998,0.9964,41.789673,140.738327,4.4,1925399237,42.4
S0139,富岡,15,475,0.9994,0.9997,0.9961,41.806444,140.744064,14.1,1925399916,30.2
S0140,富川会館前,1,33,0.3935,0.3935,0.3697,41.806084,140.622513,2.4,5418417986,7043.3
