route_id,direction,stop_sequence,stop_name
55C,0,10,中央病院前
55C,0,11,五稜郭
55C,0,12,五稜郭公園入口
55C,0,13,警察署前
55C,0,14,田家入口
55C,0,15,医師会病院前
55C,0,16,富岡
55C,0,17,亀田支所前
55C,0,18,函館地方気象台
55C,0,19,赤川通
55C,0,20,赤川1丁目
55C,0,21,赤川入口
55C,0,22,低区貯水池
55C,0,23,浄水場下
55C,0,24,赤川小学校前
55C,0,25,赤川三区
55C,0,26,赤川貯水池
55C,0,27,はこだて未来大学
55C,0,28,赤川四区
55C,0,29,下赤川
55C,0,30,赤川
55E,0,1,赤川
55E,0,2,下赤川
55E,0,3,赤川四区
55E,0,4,赤川貯水池
55E,0,5,赤川三区
55E,0,6,赤川小学校前
55E,0,7,浄水場下
55E,0,8,低区貯水池
55E,0,9,赤川入口
55E,0,10,赤川1丁目
55E,0,11,赤川通
55E,0,12,函館地方気象台
55E,0,13,亀田支所前
55E,0,14,亀田支所前
55E,0,15,富岡
55E,0,16,医師会病院前
55E,0,17,田家入口
55E,0,18,警察署前
55E,0,19,五稜郭公園入口
55E,0,20,五稜郭
55E,0,21,中央病院前
55E,0,22,千代台
55E,0,23,堀川町
55E,0,24,昭和橋
55E,0,25,千歳町
55E,0,26,新川町
55E,0,27,松風町
55E,0,28,棒二森屋前
55E,0,29,函館駅前
55E,0,30,十字街
55E,0,31,西高校前
55F,0,1,赤川
55F,0,2,下赤川
55F,0,3,赤川四区
55F,0,4,はこだて未来大学
55F,0,5,赤川貯水池
55F,0,6,赤川三区
55F,0,7,赤川小学校前
55F,0,8,浄水場下
55F,0,9,低区貯水池
55F,0,10,赤川入口
55F,0,11,赤川1丁目
55F,0,12,赤川通
55F,0,13,函館地方気象台
55F,0,14,亀田支所前
55F,0,15,富岡
55F,0,16,医師会病院前
55F,0,17,田家入口
55F,0,18,警察署前
55F,0,19,五稜郭公園入口
55F,0,20,五稜郭・大村美容
55F,0,21,五稜郭
55F,0,22,中央病院前
55F,0,23,中部高校裏
55F,0,24,千代台
55G,0,1,昭和営業所前
55G,0,2,昭和１丁目
55G,0,3,昭和ターミナル
55G,0,4,亀田中学校前
55G,0,5,亀田支所前
55G,0,6,亀田支所前
55G,0,7,函館地方気象台
55G,0,8,赤川通
55G,0,9,赤川1丁目
55G,0,10,赤川入口
55G,0,11,低区貯水池
55G,0,12,浄水場下
55G,0,13,赤川小学校前
55G,0,14,赤川三区
55G,0,15,赤川貯水池
55G,0,16,はこだて未来大学
55G,0,17,赤川四区
55G,0,18,下赤川
55G,0,19,赤川
55H,0,1,亀田支所前
55H,0,2,函館地方気象台
55H,0,3,赤川通
55H,0,4,赤川1丁目・ﾗｲﾌﾌﾟﾚｽﾃ
55H,0,5,赤川入口
55H,0,6,低区貯水池
55H,0,7,浄水場下
55H,0,8,赤川小学校前
55H,0,9,赤川３区
55H,0,10,赤川貯水池
55H,0,11,はこだて未来大学
55H,0,12,赤川４区
55H,0,13,下赤川
