node_id,longitude,latitude,elevation,degree,store_density_500m,supermarket_density_500m,stop_density_500m,dist_to_mirai_m,dist_to_station_m,cluster_id
292287015,140.7314106,41.8295554,28.22335424751372,6,6,0,5,3248.699568146272,6348.426535413261,0
292287147,140.7305428,41.8449967,46.846310052632475,6,1,0,0,3026.349598825196,8060.446710160355,0
292287148,140.7309419,41.8393291,39.766411316597186,6,1,0,1,2991.049484661128,7432.0100977583315,0
292287157,140.7315064,41.8286594,26.99900619107651,6,6,0,5,3285.4268845244856,6249.3411769925115,0
292287565,140.7296555,41.8099154,4.9371613657139,6,1,0,4,4716.571682083172,4162.425274956027,2
293180439,140.7617455,41.8261052,60.08963378151187,8,19,0,12,1824.2762711007729,6577.143539386153,3
293180462,140.7554994,41.8302847,59.200695279236,6,10,0,1,1615.9796247333309,6812.097282479089,5
293180469,140.7543588,41.8322194,62.578718400612594,6,3,0,0,1510.9985364678814,6985.272768913102,0
293180478,140.7527458,41.8335819,62.57330528623241,6,2,0,0,1506.9131339372684,7089.8226083217805,0
293180482,140.7517813,41.8341749,61.88918444628729,6,2,0,0,1531.2550046359113,7130.636907700269,0
293180487,140.7493875,41.8356137,58.94560679315835,6,0,0,9,1620.41475019986,7233.760707412469,3
293180497,140.7471426,41.8376688,56.85917282061137,6,0,0,10,1709.9828073658723,7413.745635752669,3
293180515,140.7392669,41.8429559,52.431267880714955,6,1,1,0,2291.0853228209708,7885.956407233079,0
293180611,140.7576138,41.8289238,60.1104129054528,8,13,0,12,1651.8819159229447,6731.05676966106,3
293181054,140.7614328,41.8257131,59.12643270328802,6,19,0,12,1872.7861177903785,6526.75830132124,3
293181062,140.7596794,41.8230213,50.269266444440504,6,18,1,12,2199.234374681012,6194.5866590147525,3
293181122,140.7523954,41.8194625,37.37278423532353,6,29,2,6,2784.4283378395694,5595.363339255708,3
293181228,140.76515,41.8124191,29.834045694573156,6,6,0,3,3295.9042201469633,5393.733882332293,5
293181241,140.7595587,41.8178632,38.5430156164876,6,15,2,3,2756.915372202843,5675.597352758123,3
293181254,140.7603066,41.8176435,37.97582703885927,6,16,2,3,2767.7266704817525,5682.596748343625,5
293181255,140.7587665,41.8181002,39.15279701699033,6,17,2,5,2746.704318167755,5669.446871312904,5
293181258,140.7579428,41.8182633,39.14774854133013,6,18,1,5,2746.876555816488,5655.645367472035,5
293181259,140.7574662,41.8182537,38.99221095095423,6,21,1,3,2758.867123586492,5637.619951572293,5
293181317,140.7548725,41.8086949,20.855985063708623,6,13,0,1,3838.9998559927353,4594.812452476807,2
293181318,140.7540479,41.8088668,21.062051582440628,6,16,0,1,3838.9591573840494,4579.233319849435,2
293181320,140.7527598,41.8091915,21.4851563347193,6,16,0,1,3835.5560355837065,4562.563591165464,2
293181325,140.7591222,41.8223937,48.59833175241451,6,19,1,12,2279.051989948166,6111.987641119062,3
293181385,140.765038,41.8121695,29.49850218758151,6,6,0,3,3324.04458062517,5365.670981320291,5
293181557,140.7603237,41.8241584,53.34191617097965,8,21,1,12,2063.2201674381445,6331.552431148596,3
293181558,140.7599127,41.8233778,51.36087886189463,6,19,1,12,2155.874509710425,6238.616645214596,3
293181562,140.7512635,41.8040727,15.95644326940449,6,13,0,1,4415.08314952696,4001.3771994703993,2
293181563,140.7511744,41.8034028,15.3422795425347,6,13,0,1,4488.401591950552,3932.654259449207,2
293181570,140.7502184,41.8000811,12.352834619388734,8,8,0,1,4864.52478050496,3573.525302885458,2
293182351,140.7515235,41.7948927,11.4718243222668,6,24,0,6,5393.053237569279,3157.8728259937534,2
293182602,140.7548713,41.7920509,13.33175246795849,7,35,0,9,5644.791400478815,3105.977681616761,2
293182606,140.7518686,41.7919662,10.490527577100044,6,40,0,7,5703.146291742011,2927.330806972905,2
293182635,140.753503,41.7920208,11.919181715134387,6,39,0,7,5669.1880002548905,3024.036590971799,2
293182636,140.7599017,41.7939031,15.387903606386054,7,2,0,1,5381.510885037607,3549.231274759761,2
293182665,140.7613451,41.7923377,16.403216555634994,6,4,0,3,5543.113871661463,3527.041231233743,2
293182666,140.7613055,41.7937779,15.635760583405364,8,3,0,1,5383.979126383152,3626.8473357585785,2
293182671,140.761735,41.791462,17.015094408955953,8,3,0,4,5637.488796674578,3492.563758620562,2
293183026,140.7613569,41.7920893,16.537557427676244,7,4,0,3,5570.531695971756,3510.5993342152615,2
293183210,140.7632958,41.7921083,16.326799865225233,5,3,0,3,5557.314953946522,3638.612270469791,2
293183221,140.7709302,41.7916306,11.609927623179972,8,6,0,0,5611.252031696293,4132.248560449383,2
293183222,140.7716785,41.791622,11.317142325628335,8,7,0,0,5616.100798620401,4184.796225958993,2
293183224,140.7724228,41.7916168,11.02401550683188,8,5,0,0,5621.220770828929,4237.496066778025,2
293183229,140.7758134,41.7915655,9.860479297142003,6,4,0,4,5655.975023256862,4478.9192270994035,6
293183232,140.7779457,41.7905514,9.9452474526895,7,2,0,4,5792.505531185874,4584.11818116235,6
293183426,140.7640876,41.7920791,15.913112697218066,5,3,0,3,5557.336202155877,3689.1804313621647,2
293183428,140.7650598,41.7920265,15.411112554867596,5,6,2,2,5560.274795654771,3750.8189606095502,5
293183429,140.7664115,41.791993,14.596781444413688,6,7,2,1,5561.885908890044,3840.158873218507,5
293183431,140.767686,41.7919267,13.65045220013644,5,6,1,1,5569.3103464452215,3923.312737338606,5
293183434,140.7686753,41.791833,12.968241864317545,6,5,1,0,5581.131213808326,3986.049699387751,0
293183435,140.7701929,41.7916907,11.920702647467762,5,6,1,0,5601.406026861855,4083.721539230018,2
293184592,140.7515513,41.8051561,16.921272341660902,4,15,0,1,4293.078612775899,4118.547403036964,2
293184594,140.7512145,41.803066,15.09418214245892,6,14,0,1,4523.258564705519,3901.620608324937,2
