node_id,longitude,latitude,elevation,degree,store_density_500m,supermarket_density_500m,stop_density_500m,cluster_id
12218413096,140.7328277,41.786215,2.128720800485932,2,8,2,2,0
12218413097,140.732812,41.7854763,2.1334470080341488,2,6,2,2,0
12218413099,140.732786,41.7851743,2.168212934708106,2,5,1,2,0
12218413100,140.7327467,41.7850136,2.183280784860528,2,5,1,3,0
12218413101,140.7324468,41.7852748,2.10976530091899,6,5,1,2,0
12218413102,140.7324144,41.7851558,2.1204787522352335,6,5,1,3,0
12218413103,140.7325489,41.785643,2.094387547129941,6,6,2,2,3
12218413105,140.7305621,41.7861397,1.504981492620852,6,4,1,2,3
12218413107,140.7307068,41.7865634,1.4768730301904205,6,4,1,2,3
12218413108,140.7308254,41.7868427,1.539604503770555,6,4,1,2,3
12218413109,140.7310236,41.7872431,1.706139364354994,6,5,2,2,3
12218413113,140.732917,41.7868283,2.1366483625120316,6,8,2,2,3
12218413114,140.7327667,41.7863504,2.119349380049024,6,8,2,2,3
12218413116,140.7326962,41.7861256,2.1112396210527957,6,6,2,2,3
12218413117,140.7324366,41.7872834,2.067206778258386,2,8,2,2,0
12218413138,140.7323344,41.7872991,2.053012734213855,2,8,2,2,0
12218413144,140.7333225,41.7878011,2.1855790294142863,6,12,2,4,3
12218413147,140.7334851,41.7883558,2.204024710388838,6,15,2,4,3
12218413153,140.7345948,41.7901074,2.9296681266115083,2,15,1,2,0
12218413155,140.7349267,41.7896584,2.979654734445484,6,15,1,3,0
12218413159,140.739487,41.7869128,4.261230544483485,6,17,1,7,0
12218413160,140.7399504,41.7868828,4.318404853247426,6,17,1,7,0
12218413165,140.7335608,41.788629,2.2125055520559855,2,15,2,4,0
12218413170,140.7337926,41.7871697,2.254859597924454,2,12,2,4,0
12218413171,140.7335423,41.7885622,2.2104331966978656,6,15,2,4,3
12223116131,140.7401277,41.7864257,4.319801810479826,2,14,1,7,7
12223116133,140.7397996,41.7863808,4.269218539383275,2,15,1,7,7
12223116134,140.7398503,41.7864858,4.272703828376701,2,15,1,7,7
12223116135,140.7400254,41.786448,4.300770590007351,2,15,1,7,7
12223116140,140.7380359,41.7913342,3.3993553613707053,6,21,1,2,0
12223116145,140.7383299,41.7922355,3.859742469908491,6,21,2,2,3
12223116147,140.7381369,41.7916203,3.5494399697956425,6,21,1,2,0
12223116153,140.7433593,41.7912048,6.078160963287424,2,14,0,4,1
12223116176,140.742469,41.7921004,5.845128684248542,2,14,2,4,7
12223116178,140.7412547,41.7917669,5.612398941081829,2,14,0,4,7
12223116190,140.7389851,41.7905386,3.7965694586481096,6,16,1,2,0
12223116191,140.7390418,41.7901058,3.936817277220967,6,16,1,2,0
12223116192,140.7425102,41.7914297,5.856517722619546,2,15,0,4,1
12223116194,140.7426619,41.7912747,5.885148573893069,6,14,0,4,1
12223116200,140.7433688,41.7921742,6.009242187275443,6,13,2,2,3
12223145801,140.7429227,41.7924194,5.926258789924898,2,12,2,4,0
12223145802,140.7433499,41.7919274,6.007204737508782,2,13,0,4,0
12223145807,140.7428933,41.794354,6.231928074115422,6,8,2,3,3
12223145809,140.7422826,41.7942433,6.024673477692075,6,9,3,2,2
12223145810,140.7416102,41.7941193,5.795406668443593,6,9,3,2,2
12223145811,140.7414689,41.7940946,5.747916413671431,6,9,3,2,2
12223145813,140.7411509,41.7940465,5.644835445152603,6,10,3,2,2
12223145814,140.7408339,41.7940109,5.548340827961634,6,11,3,2,2
12223145820,140.7396194,41.7936173,4.996537843513041,6,14,3,4,2
12223145832,140.737955,41.7910911,3.409343309922437,2,21,1,2,0
12223145836,140.7416079,41.7937012,5.678466249388593,2,10,3,2,3
12223145839,140.7385514,41.7927777,4.159635037918137,6,20,2,3,3
12223145841,140.738871,41.792358,4.179808592198681,2,19,2,2,0
12227780673,140.7324477,41.7910453,2.40389859620128,6,13,1,3,0
12227780674,140.7320234,41.790371,2.3800014102087563,2,10,1,3,7
12227780696,140.7326837,41.7919077,2.464684785997936,6,15,2,4,0
12227780699,140.732555,41.7914353,2.425611676653908,6,14,1,3,0
12227795005,140.7340464,41.7906495,2.8033150568972443,6,17,1,2,0
12227795006,140.7339793,41.7904282,2.724854060988968,2,16,1,2,0
12227795009,140.7344393,41.7919452,3.1608371105527233,2,19,2,5,0
12227795010,140.7327722,41.7922218,2.5738435054521287,2,13,1,4,0
12227795022,140.7334592,41.7893864,2.2651856305757176,2,16,2,4,0
12227795023,140.733859,41.7893403,2.432817090054521,2,16,2,4,0
12227795028,140.7369225,41.7923896,3.3786227369577277,2,23,2,3,0
12227795036,140.7381275,41.7927747,3.940800176675384,2,22,2,3,0
12230065055,140.7293607,41.7923576,1.9642033846451112,2,3,0,3,7
12230065057,140.7295467,41.7923886,1.9925136231954008,2,5,0,4,7
12230065058,140.7294718,41.7927122,1.9379010066099571,2,5,1,4,7
12230065067,140.7271061,41.7941226,2.36278382668831,6,3,0,4,1
12230065068,140.7280278,41.7886296,2.3954482078717576,2,4,1,1,7
12230065086,140.7285501,41.7900367,2.2642919102982835,8,5,0,3,0
12230065091,140.728346,41.7909215,2.259126253737555,6,4,0,3,0
12230090302,140.7258541,41.7961657,2.3817416485412526,8,1,0,4,0
12230090303,140.7255524,41.7966115,2.3758097544203287,8,2,0,4,0
12230090304,140.7252335,41.7971342,2.3699528470753126,2,3,0,2,1
12230090305,140.7266369,41.7950091,2.3971334136338323,6,1,0,4,1
12230090308,140.7290549,41.7885846,2.396224932370745,6,4,1,1,3
12230090336,140.7293603,41.7931161,1.87535573667155,6,5,1,4,0
12230090345,140.7319603,41.7935513,2.558129311563619,2,9,1,4,7
12230090349,140.7299488,41.7949552,1.9810076732658988,6,10,1,5,0
12230090350,140.7293913,41.7948029,1.87980631180467,6,9,1,5,0
12230090351,140.7295977,41.7948592,1.9172653055755464,6,9,1,5,0
12230090353,140.729777,41.7944676,1.9073793517641835,6,10,1,5,0
12230090354,140.7320085,41.7949093,2.7317324344934537,2,10,2,4,7
12230090373,140.731438,41.7904503,2.419113390576297,6,9,1,3,0
12230090375,140.7312345,41.7904672,2.431948158028944,6,9,1,3,0
12230090379,140.7306713,41.7906051,2.4170997303174824,6,7,0,3,0
12230090380,140.7312963,41.7896496,2.3700437653189166,6,10,2,3,3
12230090384,140.7311823,41.790276,2.4212800669083494,6,9,1,3,0
12230090385,140.7313874,41.7902459,2.407411451386588,6,9,1,3,0
12230090386,140.7305172,41.790188,2.443971834535445,6,7,0,3,0
12230090393,140.7293501,41.7898237,2.288162844485151,2,6,1,3,7
12230090401,140.7290738,41.7958559,1.9319428439017048,6,8,1,5,0
